CustID,Week,Calls,Minutes,Amt
1001,1,56,392,78.4
1001,2,49,735,154.35
1001,3,140,420,126
1001,4,182,1638,393.12
1001,5,70,1050,294
1001,6,63,441,105.84
1001,7,70,560,140
1001,8,154,616,73.92
1001,9,91,910,54.6
1001,10,21,210,54.6
1001,11,126,1638,163.8
1001,12,7,35,5.95
1001,13,203,812,113.68
1001,14,49,343,37.73
1001,15,63,945,141.75
1001,16,63,441,83.79
1001,17,21,84,15.96
1001,18,189,1512,181.44
1001,19,63,63,17.01
1001,20,147,1764,370.44
1001,21,189,378,41.58
1001,22,56,672,67.2
1001,23,105,1575,189
1001,24,70,980,264.6
1002,1,70,1050,168
1002,2,7,35,2.45
1002,3,7,63,17.64
1002,4,84,168,18.48
1002,5,21,315,75.6
1002,6,56,728,50.96
1002,7,91,364,25.48
1002,8,126,252,60.48
1002,9,140,700,77
1002,10,203,609,30.45
1002,11,133,665,199.5
1002,12,63,945,179.55
1002,13,161,2254,586.04
1002,14,21,315,34.65
1002,15,49,245,71.05
1002,16,63,189,47.25
1002,17,70,210,46.2
1002,18,147,147,39.69
1002,19,56,504,126
1002,20,133,1064,276.64
1002,21,70,70,4.9
1002,22,133,665,192.85
1002,23,140,1680,184.8
1002,24,21,105,14.7
1003,1,63,315,81.9
1003,2,14,210,50.4
1003,3,63,126,36.54
1003,4,133,1064,127.68
1003,5,56,168,43.68
1003,6,56,784,172.48
1003,7,140,280,14
1003,8,133,266,66.5
1003,9,7,98,26.46
1003,10,161,322,77.28
1003,11,63,945,198.45
1003,12,49,245,39.2
1003,13,28,392,43.12
1003,14,70,350,35
1003,15,147,441,66.15
1003,16,56,392,109.76
1003,17,28,224,51.52
1003,18,196,1764,423.36
1003,19,70,280,72.8
1003,20,49,196,58.8
1003,21,168,1680,268.8
1003,22,49,343,102.9
1003,23,35,140,32.2
1003,24,35,280,70
1004,1,63,945,274.05
1004,2,63,126,35.28
1004,3,49,98,9.8
1004,4,168,504,151.2
1004,5,70,1050,189
1004,6,70,1050,94.5
1004,7,7,105,6.3
1004,8,63,441,119.07
1004,9,63,189,49.14
1004,10,28,364,83.72
1004,11,42,210,25.2
1004,12,147,1323,343.98
1004,13,203,812,154.28
1004,14,28,420,58.8
1004,15,133,665,172.9
1004,16,70,490,63.7
1004,17,7,56,11.2
1004,18,210,840,193.2
1004,19,63,567,102.06
1004,20,112,224,33.6
1004,21,189,1890,94.5
1004,22,161,1449,72.45
1004,23,98,392,66.64
1004,24,70,350,77
1005,1,56,392,23.52
1005,2,35,175,17.5
1005,3,147,1176,176.4
1005,4,56,840,235.2
1005,5,28,364,54.6
1005,6,56,112,19.04
1005,7,63,567,141.75
1005,8,42,210,27.3
1005,9,49,441,39.69
1005,10,203,406,109.62
1005,11,56,504,75.6
1005,12,133,1197,71.82
1005,13,70,840,151.2
1005,14,7,7,0.35
1005,15,49,245,34.3
1005,16,63,504,131.04
1005,17,42,126,36.54
1005,18,196,1764,511.56
1005,19,56,56,7.84
1005,20,196,196,13.72
1005,21,196,1176,270.48
1006,1,56,280,33.6
1006,2,70,140,26.6
1006,3,133,1596,111.72
1006,4,133,798,167.58
1006,5,14,14,1.82
1006,6,63,126,36.54
1006,7,49,147,26.46
1006,8,56,224,67.2
1006,9,147,1029,113.19
1006,10,70,210,46.2
1006,11,161,1449,260.82
1006,12,49,147,16.17
1006,13,203,2030,507.5
1006,14,42,210,23.1
1006,15,112,224,44.8
1006,16,56,168,15.12
1006,17,42,84,12.6
1006,18,203,203,36.54
1006,19,56,280,22.4
1006,20,98,1470,249.9
1006,21,126,252,42.84
1006,22,175,1400,70
1006,23,154,924,194.04
1006,24,70,1050,105
1007,1,70,140,37.8
1007,2,14,42,5.46
1007,3,49,49,5.88
1007,4,21,231,60.06
1007,5,14,42,7.98
1007,6,63,945,103.95
1007,7,147,1176,258.72
1007,8,161,2093,502.32
1007,9,133,399,67.83
1007,10,203,1421,156.31
1007,11,98,1470,161.7
1007,12,112,336,43.68
1007,13,91,910,118.3
1007,14,42,84,5.88
1007,15,98,294,85.26
1007,16,56,448,98.56
1007,17,7,98,5.88
1007,18,203,1015,111.65
1007,19,63,441,44.1
1007,20,119,595,95.2
1007,21,56,112,15.68
1007,22,49,441,74.97
1007,23,126,630,144.9
1007,24,35,315,91.35
1008,1,70,140,11.2
1008,2,63,189,26.46
1008,3,112,560,56
1008,4,168,168,25.2
1008,5,49,343,34.3
1008,6,56,504,80.64
1008,7,133,1729,328.51
1008,8,98,784,148.96
1008,9,49,343,37.73
1008,10,91,1092,98.28
1008,11,161,1288,270.48
1008,12,98,588,111.72
1008,13,56,840,142.8
1008,14,7,49,8.33
1008,15,119,476,95.2
1008,16,63,882,132.3
1008,17,28,28,8.12
1008,18,175,1225,61.25
1008,19,56,224,22.4
1008,20,56,392,117.6
1008,21,119,595,178.5
1008,22,98,882,114.66
1008,23,133,931,260.68
1008,24,49,441,70.56
1009,1,70,490,39.2
1009,2,7,105,31.5
1009,3,98,490,78.4
1009,4,49,196,35.28
1009,5,21,63,10.71
1009,6,70,280,58.8
1009,7,49,490,68.6
1009,8,161,2254,202.86
1009,9,112,1120,280
1009,10,56,840,210
1009,11,77,462,78.54
1009,12,119,476,28.56
1009,13,70,1050,105
1009,14,28,196,21.56
1009,15,56,840,226.8
1009,16,56,56,15.12
1009,17,63,819,73.71
1009,18,105,420,126
1009,19,63,63,5.04
1009,20,42,168,36.96
1009,21,182,1274,280.28
1009,22,84,252,57.96
1009,23,63,819,155.61
1009,24,21,42,5.46
1010,1,56,840,218.4
1010,2,14,98,26.46
1010,3,119,952,180.88
1010,4,42,420,126
1010,5,35,70,9.8
1010,6,63,567,56.7
1010,7,112,1568,454.72
1010,8,77,462,110.88
1010,9,98,882,61.74
1010,10,70,630,88.2
1010,11,175,700,189
1010,12,56,616,36.96
1010,13,49,490,68.6
1010,14,63,945,283.5
1010,15,42,84,15.96
1010,16,63,819,57.33
1010,17,28,252,32.76
1010,18,126,126,30.24
1010,19,70,560,156.8
1010,20,112,1232,110.88
1010,21,105,1575,267.75
1010,22,161,1771,123.97
1010,23,42,588,58.8
1010,24,63,378,56.7
1011,1,63,63,15.75
1011,2,21,210,16.8
1011,3,56,168,28.56
1011,4,21,315,72.45
1011,5,49,147,10.29
1011,6,56,112,29.12
1011,7,98,98,18.62
1011,8,175,700,175
1011,9,119,1309,130.9
1011,10,49,245,51.45
1011,11,63,693,194.04
1011,12,42,336,50.4
1011,13,28,84,11.76
1011,14,28,140,39.2
1011,15,112,1008,70.56
1011,16,70,560,100.8
1011,17,63,441,79.38
1011,18,175,1400,238
1011,19,63,63,12.6
1011,20,154,1232,271.04
1011,21,168,1344,362.88
1011,22,91,1365,109.2
1011,23,56,840,243.6
1011,24,63,567,136.08
1012,1,63,441,74.97
1012,2,56,840,58.8
1012,3,42,252,45.36
1012,4,56,560,106.4
